species;cultivar_variety;family;plant_functional_type;population_year;refkey;gm_original;gm_original_SD;gm_original_SE;number_of_measurements;unit_original;gm_1bar;gm;method;variant;method_reference;air_pressure;PPFD;blue_light;temperature;temperature_type;AnCi_min;AnCi_max;AnCi_n;Ca_gas_exchange;Ca_gm;Ci_calc;rH;VPD;O2;flow_rate;cuvette_size;device_gas_exchange;fluorometer_spectroscope;hour;leaves_used;growth_location;growth_longitude;growth_latitude;growth_elevation;growth_environment;hydroponic;potted;pot_size;growth_irradiance;growth_temperature_day;growth_temperature_night;growth_rH;growth_Ca;growth_daylength;plant_age;An;gs_CO2;Ci;Cc;Ci-Cc;Rd;Rl;photorespiration;Gammastar;Cistar;Vcmax_Ci;Vcmax_Ci_25;Vcmax_Cc;Vcmax_Cc_25;Rubisco_constants_Ci_reference;Rubisco_constants_Cc_reference;Jmax_Ci;Jmax_Cc;TPU;Vpmax;J_fluorescence;kCA_activity;CA_activity;Delta_18O;Delta_13C;delta_13C;bulk_elastic_modulus;K_leaf;K_xylem;K_outside_xylem;N_g_m2;N_%DW;K_g_m2;K_%DW;P_g_m2;P_%DW;N%_Rubisco;N%_bioenergetics;N%_light_harvesting;N%_photosynthetic_apparatus;N%_cell_wall;Soluble_Protein;Rubisco;Rubisco_activity;Rubisco_activation_state;Chl_a;Chl_b;Chl_total;Chl_a/b;leaf_starch_%DW;leaf_starch_g_m2;LMA;leaf_width;T_leaf;D_leaf;T_mesophyll;T_palisade_mesophyll;T_spongy_mesophyll;fias_mesophyll;interveinal_distance;T_epidermis_adaxial;T_epidermis_abaxial;stomatal_index;stomatal_density;stomatal_density_adaxial;stomatal_density_abaxial;stomatal_area;stomatal_area_adaxial;stomatal_area_abaxial;stomatal_length;stomatal_length_adaxial;stomatal_length_abaxial;stomatal_width;T_cw;T_cyt;T_chloroplast;chloroplast_length;chloroplast_width;chloroplast_surface_area;Sm;Sc;Sb;ls_rel;lm_rel;lb_rel;Ls;Lm;location_in_reference;outlier;included_in_Knauer_et_al_2022
Abies alba;;Pinaceae;evergreen gymnosperms;;Peguero-Pina_2012;0,081;;0,011;;mol m-2 s-1;0,081;0,081;C;;Ethier_2004;;1500;;25;leaf;50;1800;;400;;;;;;;;CIRAS-2;FMS 2;;light-adapted mature shoots;;;;;natural;0;0;;;;;;;;;7,35;0,116;195;77;118;;;;;;;;113;113;;Bernacchi_2002;;158;;;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;436;;;0,4;;;;;;;;;;;;;;;0,341;1,38;;;;;;17,1;;;;;;;Table 1: gm Ethier;0;1
Abies alba;;Pinaceae;evergreen gymnosperms;;Peguero-Pina_2012;0,068;;0,004;;mol m-2 s-1;0,068;0,068;F;variable J;Harley_1992;;1500;;25;leaf;;;;400;400;;;;;;;CIRAS-2;FMS 2;;light-adapted mature shoots;;;;;natural;0;0;;;;;;;;;7,35;0,116;195;77;118;;;;;;;;117;117;;Bernacchi_2002;;138;;;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;436;;;0,4;;;;;;;;;;;;;;;0,341;1,38;;;;;;17,1;;;;;;;Table 1: gm Harley;0;1
Abies concolor;;Pinaceae;evergreen gymnosperms;;Manter_2004;0,039;;0,025;2;mol m-2 s-1;0,039;0,039;F;variable J;Epron_1995;;1600;;25;leaf;;;;;;;60;1,26;;;2;LI-6400;;;current-year-foliage;;;;;outdoor cold-frame;0;1;;;;;;;;548;;;;;;;;;;;30,55;30,55;49,75;49,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 2;0;1
Abies grandis;;Pinaceae;evergreen gymnosperms;;Manter_2004;0,013;;0,007;2;mol m-2 s-1;0,013;0,013;F;variable J;Epron_1995;;1600;;25;leaf;;;;;;;60;1,26;;;2;LI-6400;;;current-year-foliage;;;;;outdoor cold-frame;0;1;;;;;;;;548;;;;;;;;;;;17,24;17,24;23,78;23,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 2;0;1
Abies magnifica;;Pinaceae;evergreen gymnosperms;;Manter_2004;0,132;;0,034;2;mol m-2 s-1;0,132;0,132;F;variable J;Epron_1995;;1600;;25;leaf;;;;;;;60;1,26;;;2;LI-6400;;;current-year-foliage;;;;;outdoor cold-frame;0;1;;;;;;;;548;;;;;;;;;;;51,71;51,71;62,4;62,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 2;0;1
Abies pinsapo;;Pinaceae;evergreen gymnosperms;;Peguero-Pina_2012;0,14;;0,025;;mol m-2 s-1;0,14;0,14;C;;Ethier_2004;;1500;;25;leaf;50;1800;;400;;;;;;;;CIRAS-2;FMS 2;;light-adapted mature shoots;;;;;natural;0;0;;;;;;;;;11,54;0,087;181;98;83;;;;;;;;179;179;;Bernacchi_2002;;222;;;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;792;;;0,1;;;;;;;;;;;;;;;0,248;1,115;;;;;;32,3;;;;;;;Table 1: gm Ethier;0;1
Abies pinsapo;;Pinaceae;evergreen gymnosperms;;Peguero-Pina_2012;0,162;;0,032;;mol m-2 s-1;0,162;0,162;F;variable J;Harley_1992;;1500;;25;leaf;;;;400;400;;;;;;;CIRAS-2;FMS 2;;light-adapted mature shoots;;;;;natural;0;0;;;;;;;;;11,54;0,087;181;98;83;;;;;;;;162;162;;Bernacchi_2002;;213;;;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;792;;;0,1;;;;;;;;;;;;;;;0,248;1,115;;;;;;32,3;;;;;;;Table 1: gm Harley;0;1
Abies pinsapo;;Pinaceae;evergreen gymnosperms;;Peguero-Pina_2016b;0,137;;0,016;6;mol m-2 s-1;0,137;0,137;F;variable J;Harley_1992;;1500;;25;leaf;50;1800;;400;400;;;;;;;CIRAS-2;FMS II;;light-adapted mature shoots;;358,5;41,08;1150;natural;0;0;;;;;;;;;11,5;0,066;;;;;;;;;;;158;158;;Bernacchi_2002;;221;;;171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251;;;;809;;;0,13;;;;;;;;;;;;;;;0,236;0,23;1,37;4,75;;;40,5;31,2;;;;;;;Table 3: open field (OI) measurements;0;1
Abies pinsapo;;Pinaceae;evergreen gymnosperms;;Peguero-Pina_2016b;0,151;;0,01;6;mol m-2 s-1;0,151;0,151;C;;Ethier_2004;;1500;;25;leaf;50;1800;;400;;;;;;;;CIRAS-2;;;light-adapted mature shoots;;358,5;41,08;1150;natural;0;0;;;;;;;;;11,5;0,066;;;;;;;;;;;171;171;;Bernacchi_2002;;203;;;171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251;;;;809;;;0,13;;;;;;;;;;;;;;;0,236;0,23;1,37;4,75;;;40,5;31,2;;;;;;;Table 3: open field (OI) measurements;0;1
Abies procera;;Pinaceae;evergreen gymnosperms;;Manter_2004;0,034;;0;2;mol m-2 s-1;0,034;0,034;F;variable J;Epron_1995;;1600;;25;leaf;;;;;;;60;1,26;;;2;LI-6400;;;current-year-foliage;;;;;outdoor cold-frame;0;1;;;;;;;;548;;;;;;;;;;;23,34;23,34;36,44;36,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 2;0;1
Acacia falcata;;Fabaceae;evergreen angiosperms;;Tosens_2012b;0,05;;;;mol m-2 s-1;0,05;0,05;F;variable J;Harley_1992;;1000;;25;leaf;;;;;;225;;;;;;LI-6400;LI-6400-40;;mature individuals, terminal branches;;;;;natural;0;0;;;;;;;;;4,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,529;1,93;;;;;;;;;;;;;;;;;;;;131,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table S3 in Onoda et al. 2017, New Phytologist (doi: 10.1111/nph.14496);0;1
Acacia longifolia;;Fabaceae;evergreen angiosperms;;Tosens_2012b;0,06;;;;mol m-2 s-1;0,06;0,06;F;variable J;Harley_1992;;1000;;25;leaf;;;;;;225;;;;;;LI-6400;LI-6400-40;;mature individuals, terminal branches;;;;;natural;0;0;;;;;;;;;4,45;;;;92,8;;;;;;;;;;;;;;;;;;;;;;;;;;2,81;2,38;;;;;;;;;;;;;;;;;;;;117,9;;;;;;;;;;;;;;;;;;;;;;0,3;0,138;1,5;;;;26;15,5;;;;;;;Table S3 in Onoda et al. 2017, New Phytologist (doi: 10.1111/nph.14496);0;1
Acacia maidenii;;Fabaceae;evergreen angiosperms;;Warren_2011b;0,429;0,101;;3;mol m-2 s-1;0,429;0,429;I;;Evans_1986;;1000;;25;;;;;400;400;;60;1,26;;300;6;LI-6400;TGA100a;;youngest fully expanded leaf;;;;;greenhouse;0;1;;472;22,1;22,1;;;;122;14,8;;;230,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 2: mean of all control values;0;1
Acacia mangium;;Fabaceae;evergreen angiosperms;;Warren_2011b;0,391;0,058;;3;mol m-2 s-1;0,391;0,391;I;;Evans_1986;;1000;;25;;;;;400;400;;60;1,26;;300;6;LI-6400;TGA100a;;youngest fully expanded leaf;;;;;greenhouse;0;1;;472;22,1;22,1;;;;122;16,5;;;236,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Figure 2: mean of all control values;0;1
Acacia myrtifolia;;Fabaceae;evergreen angiosperms;;Tosens_2012b;0,11;;;;mol m-2 s-1;0,11;0,11;F;variable J;Harley_1992;;1000;;25;leaf;;;;;;225;;;;;;LI-6400;LI-6400-40;;mature individuals, terminal branches;;;;;natural;0;0;;;;;;;;;7,59;;;;110,9;;;;;;;;;;;;;;;;;;;;;;;;;;2,41;1,66;;;;;;;;;;;;;;;;;;;;145,2;;;;;;;;;;;;;;;;;;;;;;0,262;0,103;1,5;;;;25;14,2;;;;;;;Table S3 in Onoda et al. 2017, New Phytologist (doi: 10.1111/nph.14496);0;1
Acacia nigrescens;;Fabaceae;deciduous angiosperms;;Possell_2009;0,058;;0,012;12;mol m-2 s-1;0,058;0,058;C;;Ethier_2004;;1000;10;25;leaf;50;1500;12;386;;;;;;;2;LI-6400;LI-6400-40;;mature leaves;;;;;whole-plant chamber in a controlled environment room;0;1;9;400;26;22;42;386;12;122;9,16;;;;231,6;;;;;;;;77,6;77,6;;Bernacchi_2002;;101,6;;;;;;;;;;;;;1,63;3,674;;;;;;;;;;;;;;;;;;;;44,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,85;;Figure 3d: value ambient CO2;0;1
Acacia suaveolens;;Fabaceae;evergreen angiosperms;;Tosens_2012b;0,07;;;;mol m-2 s-1;0,07;0,07;F;variable J;Harley_1992;;1000;;25;leaf;;;;;;225;;;;;;LI-6400;LI-6400-40;;mature individuals, terminal branches;;;;;natural;0;0;;;;;;;;;4,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,648;2,113;;;;;;;;;;;;;;;;;;;;170,9;;;;;;;;;;;;;;;;;;;;;;0,367;0,162;1,65;;;;23,6;15,5;;;;;;;Table S3 in Onoda et al. 2017, New Phytologist (doi: 10.1111/nph.14496);0;1
Acer circinatum;;Sapindaceae;deciduous angiosperms;;Manter_2004;0,038;;0,002;2;mol m-2 s-1;0,038;0,038;F;variable J;Epron_1995;;1600;;25;leaf;;;;;;;60;1,26;;;2;LI-6400;;;current-year-foliage;;;;;outdoor cold-frame;0;1;;;;;;;;548;;;;;;;;;;;28,91;28,91;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Table 2;0;1
