	species	PFT	L	porosity	An	Ca	Ci	Cistar	gs	tortuosity	mu_eff	mu_eff_err16	mu_eff_err84	gamma_eff	gamma_eff_err16	gamma_eff_err84
0	Abies alba	evergreen gymnosperms	436,0	0,4	7,35	400,0	195,0	40,485	0,116	1,57	0,02162571737941014	0,0017245926246849952	0,0016844268816236414	0,10008122901015562	0,018980912004105496	0,02015203923982281
1	Abies alba	evergreen gymnosperms	436,0	0,4	7,35	400,0	195,0	40,485	0,116	1,57	0,021556194928760715	0,0017848928803453484	0,001689625364883613	0,09928376960324772	0,019544898733127064	0,020150649052834604
5	Abies pinsapo	evergreen gymnosperms	792,0	0,1	11,54	400,0	181,0	40,485	0,087	1,57	0,4564161713844217	0,024651325400193047	0,029897213570711956	0,5392032579317163	0,10202417268574832	0,1114140946756278
6	Abies pinsapo	evergreen gymnosperms	792,0	0,1	11,54	400,0	181,0	40,485	0,087	1,57	0,45360616121476194	0,021786227672245473	0,02937465842807374	0,5282612328248149	0,09083074650454626	0,11025842657253115
7	Abies pinsapo	evergreen gymnosperms	809,0	0,13	11,5	400,0	225,75757575757578	40,485	0,066	1,57	0,4309763104925895	0,0026866843059323853	0,0096061188535157	0,3189630315076102	0,05792118505129734	0,06522168474919599
8	Abies pinsapo	evergreen gymnosperms	809,0	0,13	11,5	400,0	225,75757575757578	40,485	0,066	1,57	0,4313658377590708	0,003009006240928258	0,008852663091513113	0,3194428209388244	0,06201134057279423	0,0635822609477733
20	Acer mono	deciduous angiosperms	132,2	0,24	9,9	350,0	306,57894736842104	40,485	0,228	1,57	0,016097133522800004	0,001382249096188495	0,0013764168875951832	0,09644834336176626	0,01860860517967193	0,020310300680198803
22	Acer palmatum	deciduous angiosperms	113,3	0,11	8,4	350,0	296,15384615384613	40,485	0,156	1,57	0,026949017786611587	0,002050041674501936	0,00223335208286771	0,12429726639027501	0,02241786993752097	0,026527781110622053
24	Acer rufinerve	deciduous angiosperms	212,2	0,24	8,0	350,0	270,0	40,485	0,1	1,57	0,02456934923502755	0,00166221032677491	0,0015681271039262382	0,06905873210485236	0,013571201070684547	0,01356940199110547
60	Arabidopsis thaliana	C3 annual herbaceous	169,0595578673602	0,25	9,8	370,0	311,0	40,485	0,2	1,57	0,01871566489461657	0,0015851155781602677	0,0015006238589437768	0,10536092608393072	0,02026170703104327	0,02094434366752762
61	Arabidopsis thaliana	C3 annual herbaceous	169,0595578673602	0,25	9,8	370,0	311,0	40,485	0,2	1,57	0,018643832179553024	0,0015824854183933389	0,0015973920604588944	0,1044013084661702	0,020143029911245475	0,022266430677445062
79	Arabidopsis thaliana	C3 annual herbaceous	332,0	0,227	19,2	400,0	304,950495049505	40,485	0,202	1,57	0,09002923524163822	0,006447631993937525	0,00596396382392754	0,23054641387052122	0,04611715544954148	0,04470384974343811
84	Arabidopsis thaliana	C3 annual herbaceous	149,6	0,192	10,06	400,0	349,4472361809045	40,485	0,199	1,57	0,020014290518340888	0,0016805675933953199	0,001696847899857256	0,11921823931033002	0,022449882109671096	0,024784943034693335
100	Arabidopsis thaliana	C3 annual herbaceous	68,4	0,234	7,69	400,0	292,0	40,485	0,07120370370370371	1,57	0,007027457464016982	0,0004141637701462163	0,0004032307826920649	0,016468196977699266	0,003297384114798874	0,0033244302664477456
101	Arabidopsis thaliana	C3 annual herbaceous	68,4	0,234	7,69	400,0	292,0	40,485	0,07120370370370371	1,57	0,006996107088728694	0,00039445160636915853	0,00040421596481218184	0,016215347608140564	0,003136422383728195	0,003321777124327654
105	Arabidopsis thaliana	C3 annual herbaceous	71,3	0,227	4,72	400,0	341,0	40,485	0,08	1,57	0,003849618773276063	0,0003163535066773755	0,0003131258150240778	0,01955727147222753	0,0038014465172988184	0,004121212674340256
106	Arabidopsis thaliana	C3 annual herbaceous	71,3	0,227	4,72	400,0	341,0	40,485	0,08	1,57	0,0038408706440871444	0,00028334936447827353	0,0002953368795171694	0,019447267265781956	0,003412782981543766	0,0038680562326631335
114	Araucaria heterophylla	evergreen gymnosperms	486,9	0,37	5,48	400,0	243,42857142857144	40,485	0,035	1,57	0,028430944587482757	0,00045569540096990907	0,0007844747469298169	0,03616909404952939	0,007264791631650808	0,007197278358618907
115	Araucaria heterophylla	evergreen gymnosperms	486,9	0,37	5,48	400,0	243,42857142857144	40,485	0,035	1,57	0,028371035039051164	0,00040905225500007317	0,0007903738629421661	0,0353222691238089	0,0063297291704730654	0,007577489378259215
199	Brassica napus	C3 annual herbaceous	292,865799739922	0,306	13,9	400,0	226,0	40,485	0,097	1,57	0,05019845503363934	0,0013991240474715283	0,0018440030672961585	0,07220440553716825	0,012683715951241514	0,014132589871439921
203	Brassica napus	C3 annual herbaceous	147,0	0,339	16,7	400,0	299,0	40,485	0,217	1,57	0,02023223181904597	0,0013884907680586055	0,001422529191908467	0,07233392741866383	0,01293815198845466	0,014237411234885852
204	Brassica napus	C3 annual herbaceous	171,53568270481148	0,273	21,5	400,0	296,1352657004831	40,485	0,207	1,57	0,04271078823557593	0,0024371904439946246	0,002721317453287346	0,10035184745450265	0,01828155193726584	0,021182051003742194
206	Brassica napus	C3 annual herbaceous	148,0	0,289	15,8	400,0	312,0	40,485	0,21	1,57	0,022581480117110933	0,0015559718959845675	0,0016210011156860653	0,08328227926676016	0,014735421782072253	0,016504773973307962
209	Bruguiera parviflora	evergreen angiosperms	227,0	0,21	13,18	350,0	260,7	40,485	0,14759238521836504	1,57	0,053209957801535174	0,0032526962593040012	0,0030852061464032993	0,12618791117138956	0,024025157529364558	0,02363528914833521
247	Castanopsis sieboldii	evergreen angiosperms	190,3	0,469	6,85	360,0	247,4	40,485	0,084	1,57	0,009174619800660814	0,0006099241247884985	0,0005451261668688277	0,02664670041347091	0,005167659423220894	0,00490149520104732
258	Chamaecyparis obtusa	evergreen gymnosperms	578,0	0,231	4,3	400,0	211,0	40,485	0,033	1,57	0,03780007017948121	0,0014174577620426343	0,0017807192508708033	0,06385014843985164	0,011169707614130733	0,013276729492874895
294	Citrus limon	evergreen angiosperms	239,0	0,36	12,9	346,0	242,4	40,485	0,106	1,57	0,037606046350793315	0,0011406068712724801	0,0015665307330408537	0,05516350272877896	0,010648362706199545	0,01219796799105316
295	Citrus paradisi	evergreen angiosperms	319,0	0,43	20,4	346,0	245,5	40,485	0,219	1,57	0,05880870509955127	0,00338599092827295	0,003458700127928649	0,1277528870848583	0,024377981813018146	0,02550436015378249
340	Cucumis sativus	C3 annual herbaceous	111,68176853055918	0,232	21,2	400,0	338,72832369942194	40,485	0,346	1,57	0,027305645448198655	0,0021788763690738823	0,0020095487596598557	0,12940160347535193	0,024247616296721577	0,024226673409245197
343	Cupressus sempervirens	evergreen gymnosperms	389,6	0,063	10,91	400,0	289,7979797979798	40,485	0,099	1,57	0,26696990909963036	0,018033366100917436	0,019519007096504892	0,4798105222777562	0,09159228153870286	0,09908932844672835
344	Cupressus sempervirens	evergreen gymnosperms	389,6	0,063	10,91	400,0	289,7979797979798	40,485	0,099	1,57	0,26605123729997476	0,018875214696224968	0,019500506393918093	0,4751633840186525	0,09599912572287639	0,09895359284417465
348	Cycas revoluta	evergreen gymnosperms	256,5	0,2	4,17	400,0	218,69565217391303	40,485	0,023	1,57	0,023975740389798834	9,969571480795622e-05	0,0003472999350805535	0,022603016791386897	0,0039244505054453725	0,004908169795870377
349	Cycas revoluta	evergreen gymnosperms	256,5	0,2	4,17	400,0	218,69565217391303	40,485	0,023	1,57	0,02397374400006914	0,00010151588384416446	0,0003818637933913245	0,023056199367751423	0,004206110363240936	0,004656597289127894
358	Cypripedium flavum	C3 perennial herbaceous	224,2	0,273	10,4	380,0	302,7	40,485	0,26	1,57	0,022744664785331936	0,0019419721976125688	0,001856013015226879	0,1674170397643726	0,030803131126428157	0,03210762333063044
362	Cypripedium tibeticum	C3 perennial herbaceous	182,1	0,294	7,73	380,0	295,8	40,485	0,17	1,57	0,01279393839991782	0,0011107641192214645	0,0011131052131056283	0,0815637179277551	0,015772473453786268	0,017357103722865502
363	Cypripedium yunnanense	C3 perennial herbaceous	191,4	0,247	9,32	380,0	297,4	40,485	0,24	1,57	0,019042250975182768	0,0016884097867411463	0,0016702461339408413	0,1450017142989133	0,027619024202318085	0,029965427611006373
421	Ephedra minuta	evergreen gymnosperms	431,0	0,21	4,52	400,0	184,7619047619048	40,485	0,021	1,57	0,05265620789441547	0,0017715127940525974	0,004603178151877656	0,03325284880364743	0,006419443372016633	0,006911898561235134
422	Ephedra minuta	evergreen gymnosperms	431,0	0,21	4,52	400,0	184,7619047619048	40,485	0,021	1,57	0,052472043779165006	0,0016535064479884717	0,004248195323091439	0,03370616943418158	0,006383769030222315	0,006938850939013183
500	Fallopia japonica	C3 perennial herbaceous	166,0	0,49	9,85	346,0	292,2	40,485	0,18	1,57	0,010407290420639452	0,0008381360559821891	0,0007780358304344398	0,046962733951793525	0,009169990059337135	0,00926572187234146
520	Fraxinus ornus	deciduous angiosperms	64,5	0,408	8,19	400,0	233,0	40,485	0,076	1,57	0,004007082823714408	0,00023351933233100274	0,00023776631698992513	0,009304384467761329	0,0018667844031384166	0,001966537244505344
628	Gossypium barbadense	C3 perennial herbaceous	176,48793237971393	0,336	32,66	400,0	289,2881355932203	40,485	0,295	1,57	0,056714661185651986	0,003104201667822354	0,003590170208513148	0,12130707205894842	0,022394992623030102	0,026486979804221544
629	Gossypium barbadense	C3 perennial herbaceous	290,30429128738626	0,385	29,92	400,0	279,83935742971886	40,485	0,249	1,57	0,0792256792465588	0,004198477230294942	0,004253905471743161	0,14744313482500235	0,02922600421958914	0,029283450810780293
630	Gossypium barbadense	C3 perennial herbaceous	176,48793237971393	0,336	32,66	400,0	289,2881355932203	40,485	0,295	1,57	0,05651171355995538	0,00297694728409776	0,0035323799394789065	0,11983459022607036	0,02146856629158507	0,026002988333471852
631	Gossypium barbadense	C3 perennial herbaceous	290,30429128738626	0,385	29,92	400,0	279,83935742971886	40,485	0,249	1,57	0,079123032052105	0,004101126037199629	0,004343692534763646	0,14673802481372372	0,028558794187180978	0,029899464393896152
646	Gossypium hirsutum	C3 perennial herbaceous	265,5430429128739	0,445	41,47	400,0	312,3255813953488	40,485	0,473	1,57	0,0759809124023649	0,005298609714847857	0,005651903122921451	0,21841884865413735	0,04069393418979941	0,045991898125803454
647	Gossypium hirsutum	C3 perennial herbaceous	324,4577373211964	0,395	38,58	400,0	292,53481894150417	40,485	0,359	1,57	0,10842836992914076	0,0072498154756025085	0,0064527344285189026	0,2304237968749599	0,04790779137675291	0,043586967037645585
648	Gossypium hirsutum	C3 perennial herbaceous	265,5430429128739	0,445	41,47	400,0	312,3255813953488	40,485	0,473	1,57	0,07612913825207704	0,005689716300960518	0,005959250503004984	0,21959018965877086	0,04367804461631891	0,04864798362298256
649	Gossypium hirsutum	C3 perennial herbaceous	324,4577373211964	0,395	38,58	400,0	292,53481894150417	40,485	0,359	1,57	0,10800455983804114	0,006167962954678502	0,007024010689091739	0,22760197759530637	0,04074704982200167	0,04742042438426952
652	Gossypium hirsutum	C3 perennial herbaceous	375,0	0,47	37,26	400,0	303,72093023255815	40,485	0,387	1,57	0,09623384836678188	0,006590920680946841	0,006542115414849448	0,240431616641271	0,04633633494054745	0,048066170743299386
653	Gossypium hirsutum	C3 perennial herbaceous	375,0	0,47	37,26	400,0	303,72093023255815	40,485	0,387	1,57	0,09586805590638037	0,0064216608207087605	0,006881738341559224	0,23780866741589318	0,045068393789153643	0,05049233630202593
671	Helianthus annuus	C3 annual herbaceous	160,4	0,348	10,99	400,0	367,77126099706743	40,485	0,341	1,57	0,012182384294136744	0,001120880191053341	0,0011696857378752975	0,12240804824379528	0,023488362851526792	0,02704864138404367
720	Juglans nigra x regia	deciduous angiosperms	128,07542262678805	0,168	15,8	368,0	301,89121338912133	48,8	0,239	1,57	0,03859958844344105	0,0030315543121143193	0,003009728396796446	0,1436024224584587	0,028170436181568864	0,03021691697776263
722	Juniperus oxycedrus	evergreen gymnosperms	320,0	0,275	6,3	400,0	272,0	40,485	0,059	1,57	0,0231464229101786	0,0013347036991130587	0,0013709393113522754	0,05409546708736887	0,010330776444324868	0,01098999224957875
750	Ligustrum vulgare	deciduous angiosperms	105,7	0,311	6,56	400,0	222,0	40,485	0,056	1,57	0,007193463250319627	0,00037309436505415794	0,00037805425153015094	0,014762159048214284	0,0029589912886284903	0,0030123928177246302
777	Macadamia integrifolia	evergreen angiosperms	256,0	0,38	9,5	346,0	207,8	40,485	0,088	1,57	0,025865063235666154	0,0011714080377661432	0,0012056018580720654	0,04646590577645273	0,009255597847762968	0,009169635334772448
780	Macrozamia riedlei	evergreen gymnosperms	268,6	0,2	7,0	400,0	158,6206896551724	40,485	0,029	1,57	0,06581638447707376	0,004971050942288335	0,011516904267830336	0,030300969751004346	0,0057346432005339065	0,006259596954530149
781	Macrozamia riedlei	evergreen gymnosperms	268,6	0,2	7,0	400,0	158,6206896551724	40,485	0,029	1,57	0,06594351538096929	0,004968894322005639	0,01154451443253754	0,030195997731283137	0,005676923276993182	0,006111473746581334
838	Metasequoia glyptostroboides	deciduous gymnosperms	232,3	0,29	8,64	400,0	289,2307692307692	40,485	0,078	1,57	0,02200651912456848	0,0011685644525421604	0,0013750166257658278	0,04790288174698992	0,008985958286519533	0,010826677885877503
839	Metasequoia glyptostroboides	deciduous gymnosperms	232,3	0,29	8,64	400,0	289,2307692307692	40,485	0,078	1,57	0,0220879568158033	0,0011385820012282388	0,0012727612906634662	0,04853356312707437	0,008759973572550317	0,010028796187895948
872	Nicotiana sylvestris	C3 annual herbaceous	191,9	0,302	12,6	400,0	296,6	40,485	0,152	1,57	0,022912514174145835	0,001515052079874516	0,001772837563040721	0,07424771211353373	0,013305028069127853	0,016710470573678957
879	Nicotiana tabacum	C3 annual herbaceous	170,0	0,43	16,0	400,0	282,0	40,485	0,13559322033898305	1,57	0,02077034791252407	0,0010578496966779788	0,00110806571976867	0,04167883103076765	0,008179914450610615	0,008578060856257869
921	Nicotiana tabacum	C3 annual herbaceous	239,07412223667103	0,49	9,87	360,0	336,15942028985506	40,485	0,414	1,57	0,012843950605137905	0,0011686340314383484	0,0012560284299934082	0,1577298300680915	0,029364702948178972	0,03479010882205694
941	Olea europaea	evergreen angiosperms	269,0	0,6	13,9	380,0	243,0	40,485	0,042	1,57	0,22038488527781447	0,0867705009036748	0,4892267602816857	0,016562477452136043	0,0016494005327106712	0,002076883280554463
968	Oryza alta	C3 perennial herbaceous	63,26925877763329	0,25	17,45	380,0	288,6	40,485	0,263	1,57	0,012712929604148122	0,000931445122439388	0,0009657250437300948	0,0516618044341275	0,009488104310916928	0,010658355647052364
969	Oryza australiensis	C3 perennial herbaceous	69,5	0,082	21,19	380,0	288,8	40,485	0,23234649122807022	1,57	0,05912790193169547	0,0038137079613169214	0,004150929291697442	0,14996429045510556	0,028471217706927454	0,0325243076222074
970	Oryza australiensis	C3 perennial herbaceous	106,98566970091028	0,28	22,45	380,0	259,2	40,485	0,244	1,57	0,02767508967069335	0,0017820428845189001	0,0018390620212464064	0,07251290515442402	0,0141074290526787	0,015343302073830167
971	Oryza australiensis	C3 perennial herbaceous	98,70345903771131	0,234	22,3	380,0	226,6	40,485	0,181	1,57	0,035003092244151615	0,0014570906194377245	0,0016532451324692832	0,05966433639071532	0,011572724477274032	0,012385039499530195
974	Oryza barthii	C3 annual herbaceous	78,12600780234071	0,204	21,64	380,0	257,6	40,485	0,221	1,57	0,02732680400068696	0,0015345960012771998	0,0016725266617178408	0,06538224645605055	0,011857949099494447	0,013431909729272024
975	Oryza brachyantha	C3 annual herbaceous	49,351729518855656	0,158	9,65	380,0	302,3	40,485	0,124	1,57	0,008997523000465774	0,0005966989494045616	0,0006371469171556586	0,029808714816121542	0,005403065784133659	0,006192136483620544
976	Oryza coarctata	C3 perennial herbaceous	96,56886866059818	0,215	10,51	380,0	238,6	40,485	0,082	1,57	0,017630306428039005	0,0005977851403821954	0,0007199002878707575	0,028410127513050533	0,005181632891606235	0,005670816457010945
977	Oryza glaberrima	C3 annual herbaceous	72,74684005201561	0,207	27,09	380,0	264,6	40,485	0,232	1,57	0,034293147930405096	0,0014718991684309624	0,0018396620784182222	0,06300696846430105	0,011254822676320941	0,013764846685457258
978	Oryza glaberrima	C3 annual herbaceous	72,74684005201561	0,207	27,09	380,0	264,6	40,485	0,232	1,57	0,03433091148059646	0,0015009795815993515	0,00171976940728958	0,0632900920012074	0,01146927430876625	0,012864795475140689
980	Oryza glumaepatula	C3 perennial herbaceous	61,56158647594278	0,187	25,82	380,0	257,6	40,485	0,286	1,57	0,027256126329133545	0,0017540744283524902	0,001806223483612538	0,07351154799533421	0,014044935839748272	0,015276854582475491
981	Oryza glumaepatula	C3 perennial herbaceous	61,56158647594278	0,187	25,82	380,0	257,6	40,485	0,286	1,57	0,027196827593528747	0,0017691688713513364	0,0018043099767878525	0,07302475829746304	0,014139109140834778	0,01523118703962642
983	Oryza latifolia	C3 perennial herbaceous	83,59055916775034	0,26	16,42	380,0	255,2	40,485	0,156	1,57	0,017846869232374232	0,0010143715356528311	0,000962928820910286	0,03920670210829856	0,007865128988185692	0,0076352980283154875
986	Oryza longistaminata	C3 perennial herbaceous	69,07534460338103	0,172	23,97	380,0	253,3	40,485	0,245	1,57	0,03185890479893911	0,001931273270402871	0,0019784080501821164	0,0759131126035818	0,014783808628779788	0,01575023894927352
988	Oryza meridionalis	C3 annual herbaceous	57,5485565669701	0,227	22,1	380,0	270,4	40,485	0,271	1,57	0,017208862854321817	0,0011835493952309928	0,0011610393230897902	0,05381438425200622	0,01026367937648056	0,010764672738641255
989	Oryza meridionalis	C3 annual herbaceous	64,7	0,077	22,94	380,0	285,3	40,485	0,24223864836325243	1,57	0,06501644283444469	0,004274228988273655	0,004422635865705182	0,1572049319697404	0,03113067513945006	0,033619377232183445
990	Oryza minuta	C3 perennial herbaceous	68,98996098829649	0,172	16,75	380,0	247,1	40,485	0,164	1,57	0,02249216176416495	0,0013341764764752267	0,0014145771623981403	0,051215532696132354	0,01029261698294874	0,011273533614348602
991	Oryza nivara	C3 annual herbaceous	64,20847854356307	0,243	14,78	380,0	292,9	40,485	0,231	1,57	0,011127360220323814	0,0008636847606769381	0,0008890420592315568	0,04736566130292729	0,009076194073506502	0,010175271203852941
994	Oryza officinalis	C3 perennial herbaceous	67,87997399219766	0,176	21,62	380,0	278,9	40,485	0,3	1,57	0,024877116937849327	0,0018615009435586811	0,0018132052852842494	0,09045633912226625	0,017369806862376796	0,01824421145531134
995	Oryza punctata	C3 annual herbaceous	63,26925877763329	0,236	21,5	380,0	253,3	40,485	0,232	1,57	0,018491606910606424	0,0011144237305508106	0,0012167536062875559	0,048476501486827736	0,008961538346785106	0,01030314116272281
998	Oryza rhizomatis	C3 perennial herbaceous	99,21576072821848	0,23	22,8	380,0	255,9	40,485	0,231	1,57	0,03281167869687887	0,0018251960301359609	0,002089562094791844	0,07779177813617312	0,013948102502719217	0,016588715902666307
1000	Oryza rufipogon	C3 perennial herbaceous	55,15781534460338	0,231	25,56	380,0	256,5	40,485	0,283	1,57	0,019346451226761485	0,0011780221598271141	0,0012962748706375447	0,05211418393228829	0,009552570005036884	0,011100854370893913
1001	Oryza rufipogon	C3 perennial herbaceous	55,15781534460338	0,231	25,56	380,0	256,5	40,485	0,283	1,57	0,019417778142193177	0,0011567680996188712	0,0012412831639725362	0,05270803434021318	0,009411641304310693	0,010651200525682622
1007	Oryza sativa	C3 annual herbaceous	57,29240572171651	0,168	25,56	380,0	275,1	40,485	0,357	1,57	0,02598785101184216	0,0019023060599222437	0,0019339871561898474	0,09517703359462107	0,017820994728520834	0,019533223656798493
1037	Oryza sativa	C3 annual herbaceous	57,29240572171651	0,168	25,56	380,0	275,1	40,485	0,357	1,57	0,025901507551131304	0,001961942075005274	0,0019150303544488469	0,09433849412787082	0,018294182936203163	0,019271055458113834
1058	Oryza sativa	C3 annual herbaceous	93,5804421326398	0,175	28,75	380,0	250,8	40,485	0,247	1,57	0,05649891208142831	0,0025451773193560442	0,003076754859861079	0,10226776874433499	0,018645010286028885	0,022043219405129766
