	species	PFT	accession	condition	An	An error	gs	gs error	gias	gias error	Ca	Cistar	Ci	Ci error
0	Juglans Regia	deciduous angiosperms	A1	dehydrated	9,49	0,69	0,11	0,04	1,28	0,23	409,353	38,18	323,6860172508302	95,62368127016313
1	Juglans Regia	deciduous angiosperms	A2	dehydrated	7,96	1,02	0,04	0,01	1,32	0,26	409,353	38,18	211,7976408409993	82,53920109949051
2	Juglans Regia	deciduous angiosperms	A3	dehydrated	7,92	1,16	0,06	0,02	1,21	0,12	409,353	38,18	277,12767545202394	98,77418813116645
3	Juglans Regia	deciduous angiosperms	A4	dehydrated	7,63	0,78	0,05	0,01	0,98	0,15	409,353	38,18	257,6839206915515	41,7223320752605
4	Juglans Regia	deciduous angiosperms	A5	dehydrated	7,0	1,4	0,04	0,01	1,1	0,02	409,353	38,18	235,87904818442786	80,22817260873472
5	Juglans Regia	deciduous angiosperms	A6	dehydrated	6,64	0,61	0,05	0,01	1,22	0,26	409,353	38,18	276,73373726426433	35,68710572392428
6	Juglans Regia	deciduous angiosperms	A7	dehydrated	9,35	1,67	0,07	0,02	0,99	0,05	409,353	38,18	275,91218092956296	97,01157086158011
7	Juglans Regia	deciduous angiosperms	A8	dehydrated	7,01	0,94	0,08	0,02	0,91	0,19	409,353	38,18	322,2744670824744	36,61275364427279
8	Juglans Regia	deciduous angiosperms	A9	dehydrated	5,98	0,84	0,03	0,01	1,09	0,12	409,353	38,18	209,35037970764785	148,6044068738675
9	Juglans Regia	deciduous angiosperms	A10	dehydrated	5,16	1,34	0,04	0,01	0,89	0,09	409,353	38,18	280,46163605476823	65,01694427348468
10	Juglans Regia	deciduous angiosperms	A11	dehydrated	5,03	0,81	0,02	0,01	1,04	0,24	409,353	38,18	162,7820547529491	1125,6724534661946
11	Juglans Regia	deciduous angiosperms	A1	watered	11,98	0,69	0,15	0,04	1,1	0,23	409,353	38,18	328,8744077480868	37,25555836217041
12	Juglans Regia	deciduous angiosperms	A2	watered	12,48	1,02	0,1	0,01	0,99	0,26	409,353	38,18	284,95959605563723	16,909153250329695
13	Juglans Regia	deciduous angiosperms	A3	watered	16,1	1,16	0,18	0,02	0,89	0,12	409,353	38,18	320,0132770234129	12,510456947793694
14	Juglans Regia	deciduous angiosperms	A4	watered	12,09	0,78	0,09	0,01	0,81	0,15	409,353	38,18	275,24319396155045	18,222223629961174
15	Juglans Regia	deciduous angiosperms	A5	watered	16,17	1,4	0,12	0,01	0,88	0,02	409,353	38,18	274,63821264300924	16,88669091071548
16	Juglans Regia	deciduous angiosperms	A6	watered	10,31	0,61	0,08	0,01	0,93	0,26	409,353	38,18	280,6849678695686	19,082736428018944
17	Juglans Regia	deciduous angiosperms	A7	watered	11,67	1,67	0,09	0,02	0,87	0,05	409,353	38,18	279,98934051954643	44,13500690462254
18	Juglans Regia	deciduous angiosperms	A8	watered	11,82	0,94	0,12	0,02	0,75	0,19	409,353	38,18	311,0910588543918	20,657069764459116
19	Juglans Regia	deciduous angiosperms	A9	watered	12,51	0,84	0,1	0,01	0,85	0,12	409,353	38,18	284,44159597418894	15,77735454341433
20	Juglans Regia	deciduous angiosperms	A10	watered	9,36	1,34	0,12	0,01	0,79	0,09	409,353	38,18	331,8399845095455	13,605405403381138
21	Juglans Regia	deciduous angiosperms	A11	watered	7,81	0,81	0,08	0,01	0,87	0,24	409,353	38,18	312,01796341575584	16,973284062746128
